date,symbol,open,high,low,close
2020-06-26,BTC,9310.9896455256,9333.3460568584,9002.3744683154,9252.6333717662
2020-06-27,BTC,9162.21000000,9196.24000000,8833.00000000,9012.00000000
2020-06-27,BTC,9252.6847128695,9292.2453669875,9046.2313649675,9171.7320857653
2020-06-28,BTC,9012.00000000,9191.00000000,8948.06000000,9116.35000000
2020-06-28,BTC,9171.5540124669,9192.7682653593,8843.3177021008,9022.1537680028
2020-06-29,BTC,9116.16000000,9238.00000000,9024.67000000,9192.56000000
2020-06-29,BTC,9022.0121258159,9190.1174784507,8949.7559742094,9101.8500573564
2020-06-30,BTC,9101.8777027488,9233.5293611412,9032.4354826268,9188.0613754617
2020-06-30,BTC,9192.93000000,9205.00000000,9064.89000000,9138.55000000
2020-07-01,BTC,9188.0374007629,9201.6487941318,9067.1908399612,9148.4448585576
2020-07-01,BTC,9138.08000000,9292.00000000,9080.10000000,9232.00000000
2020-07-02,BTC,9141.3482599688,9300.9989833628,9096.7786459199,9236.3167704303
2020-07-02,BTC,9231.99000000,9261.96000000,8940.00000000,9086.54000000
2020-07-03,BTC,9240.1696284865,9267.1230218636,8957.6328010018,9097.7973663897
2020-07-03,BTC,9086.54000000,9125.00000000,9037.47000000,9058.26000000
